coverage	substitution_rate	assembly_fraction	family_observations	TP	FN	FP	TN	sensitivity	false_positive_rate	precision
1	0	0	9	8	1	0	0	0.8888888888888888	NA	1.0
1	0	0.25	9	7	2	0	0	0.7777777777777778	NA	1.0
1	0	0.5	9	6	3	0	0	0.6666666666666666	NA	1.0
1	0	0.75	9	0	0	2	7	NA	0.2222222222222222	0.0
1	0	1	9	0	0	2	7	NA	0.2222222222222222	0.0
1	0.001	0	9	8	1	0	0	0.8888888888888888	NA	1.0
1	0.001	0.25	9	7	2	0	0	0.7777777777777778	NA	1.0
1	0.001	0.5	9	6	3	0	0	0.6666666666666666	NA	1.0
1	0.001	0.75	9	0	0	2	7	NA	0.2222222222222222	0.0
1	0.001	1	9	0	0	2	7	NA	0.2222222222222222	0.0
1	0.01	0	9	8	1	0	0	0.8888888888888888	NA	1.0
1	0.01	0.25	9	6	3	0	0	0.6666666666666666	NA	1.0
1	0.01	0.5	9	4	5	0	0	0.4444444444444444	NA	1.0
1	0.01	0.75	9	0	0	2	7	NA	0.2222222222222222	0.0
1	0.01	1	9	0	0	1	8	NA	0.1111111111111111	0.0
5	0	0	9	9	0	0	0	1.0	NA	1.0
5	0	0.25	9	7	2	0	0	0.7777777777777778	NA	1.0
5	0	0.5	9	7	2	0	0	0.7777777777777778	NA	1.0
5	0	0.75	9	0	0	1	8	NA	0.1111111111111111	0.0
5	0	1	9	0	0	0	9	NA	0.0	NA
5	0.001	0	9	9	0	0	0	1.0	NA	1.0
5	0.001	0.25	9	7	2	0	0	0.7777777777777778	NA	1.0
5	0.001	0.5	9	6	3	0	0	0.6666666666666666	NA	1.0
5	0.001	0.75	9	0	0	1	8	NA	0.1111111111111111	0.0
5	0.001	1	9	0	0	0	9	NA	0.0	NA
5	0.01	0	9	9	0	0	0	1.0	NA	1.0
5	0.01	0.25	9	7	2	0	0	0.7777777777777778	NA	1.0
5	0.01	0.5	9	2	7	0	0	0.2222222222222222	NA	1.0
5	0.01	0.75	9	0	0	1	8	NA	0.1111111111111111	0.0
5	0.01	1	9	0	0	0	9	NA	0.0	NA
20	0	0	9	9	0	0	0	1.0	NA	1.0
20	0	0.25	9	9	0	0	0	1.0	NA	1.0
20	0	0.5	9	9	0	0	0	1.0	NA	1.0
20	0	0.75	9	0	0	0	9	NA	0.0	NA
20	0	1	9	0	0	0	9	NA	0.0	NA
20	0.001	0	9	9	0	0	0	1.0	NA	1.0
20	0.001	0.25	9	9	0	0	0	1.0	NA	1.0
20	0.001	0.5	9	9	0	0	0	1.0	NA	1.0
20	0.001	0.75	9	0	0	0	9	NA	0.0	NA
20	0.001	1	9	0	0	0	9	NA	0.0	NA
20	0.01	0	9	9	0	0	0	1.0	NA	1.0
20	0.01	0.25	9	9	0	0	0	1.0	NA	1.0
20	0.01	0.5	9	3	6	0	0	0.3333333333333333	NA	1.0
20	0.01	0.75	9	0	0	0	9	NA	0.0	NA
20	0.01	1	9	0	0	0	9	NA	0.0	NA
