truth_id	recovered	assigned_sequence_index	threshold	criterion
f001	1	35	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f002	1	24	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f003	1	12	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f004	1	49	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f005	1	54	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f006	1	41	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f007	1	11	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f008	1	33	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f009	1	43	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f010	1	38	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f011	1	50	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f012	1	51	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f013	1	30	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f014	0	NA	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f015	1	46	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f016	0	NA	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f017	1	52	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f018	1	53	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f019	1	10	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f020	1	5	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f021	1	4	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f022	1	28	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f023	1	17	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f024	1	37	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f025	1	29	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f026	1	9	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f027	1	36	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f028	1	31	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f029	1	25	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f030	1	48	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f031	1	15	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f032	1	13	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f033	1	34	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f034	1	16	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f035	1	45	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f036	1	44	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f037	1	14	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f038	1	2	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f039	1	19	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f040	1	3	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f041	1	26	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f042	1	20	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f043	1	6	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f044	1	18	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f045	1	0	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f046	0	NA	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f047	1	40	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f048	1	22	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f049	1	1	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f050	1	7	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f051	1	8	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f052	1	23	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f053	1	42	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f054	1	47	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
megabase_171	0	NA	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
